
# ====== Port number : 3000 ======

########################################
# SR SequentialExecute for /192.168.0.2:3000
#  Repeat Count = 100
# Client Configuration @2011-09-08 04:10:49
#  Task time = 100
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
4	627.0285666666666	0.47090292450952953	1315427791354	1315427821442
5	601.8265	0.3154666766342725	1315427821442	1315427851520
6	585.4611333333334	0.8305604976589347	1315427851520	1315427881610
7	573.3874333333334	0.4092144435323927	1315427881610	1315427911697
8	564.5681	0.8078442727368426	1315427911697	1315427941794
9	557.6053999999999	0.7107042452254213	1315427941794	1315427971886
10	552.8925999999999	1.9521362410381813	1315427971887	1315428002016
11	547.7064666666666	0.7421520772501321	1315428002016	1315428032125
12	544.2055999999999	0.8489208403222149	1315428032126	1315428062241
13	541.2504666666669	2.102555403050297	1315428062241	1315428092374
14	538.2239333333334	1.0418564642069092	1315428092374	1315428122498
15	535.9443999999999	0.7761336802950951	1315428122498	1315428152620
16	533.7938	0.7069493176521944	1315428152621	1315428182743
17	532.1276333333333	1.4063913833086152	1315428182743	1315428212881
18	530.0727333333333	0.3164318233936713	1315428212881	1315428242997
19	529.3286666666667	0.9640613922077492	1315428242998	1315428273145
20	527.9099666666666	1.329285016104049	1315428273145	1315428303290
21	526.7608000000001	0.9207533795596268	1315428303290	1315428333436
22	525.5962999999999	1.3779762810406135	1315428333436	1315428363587
23	525.0785333333333	0.9123254385029572	1315428363587	1315428393756
24	523.7683333333333	0.7649847568543705	1315428393756	1315428423914

########################################
# SR ParallelExecute for /192.168.0.2:3100
#  Repeat Count = 30
# Client Configuration @2011-09-08 04:47:03
#  Task time = 1000
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
1	1003.3073333333335	0.5937794975086231	1315428426927	1315428457060
2	543.2518	219.97693401407906	1315428457060	1315428473388
3	335.9469666666667	1.0340263947453745	1315428473388	1315428483518
4	252.72733333333332	0.3369360251634051	1315428483518	1315428491134
5	202.55403333333334	0.3380441190719435	1315428491134	1315428497244
6	169.07389999999995	0.44782449996049023	1315428497244	1315428502356
7	145.10413333333335	0.5166169616419667	1315428502357	1315428506749
8	127.57883333333331	1.039879902993504	1315428506750	1315428510627
9	113.57153333333332	0.31234019178454875	1315428510627	1315428514071
10	102.49240000000002	0.3855833556266467	1315428514072	1315428517185
11	93.38089999999997	0.388870632693029	1315428517185	1315428520024
12	85.88190000000003	0.30759829939082484	1315428520024	1315428522640
13	79.82690000000002	1.6138575194545715	1315428522641	1315428525073
14	74.21010000000001	0.4486268205716924	1315428525073	1315428527334
15	69.19683333333334	0.5975774705689946	1315428527334	1315428529448
16	65.41906666666667	1.287331266033091	1315428529448	1315428531468
17	61.41086666666668	0.4527690842775664	1315428531468	1315428533347
18	58.326466666666654	0.35150697578281387	1315428533347	1315428535138
19	55.44160000000001	0.3271038641317059	1315428535138	1315428536837
20	52.37856666666666	0.3980520398610439	1315428536837	1315428538447
21	50.33043333333333	0.3097794191130639	1315428538449	1315428539998
22	48.324833333333345	0.3591038734868047	1315428539998	1315428541492
23	46.267633333333336	0.37579098036001685	1315428541492	1315428542921
24	44.40026666666667	0.37471110097632326	1315428542921	1315428544292


# ====== Port number : 3000 ======

########################################
# SR SequentialExecute for /192.168.0.2:3000
#  Repeat Count = 10
# Client Configuration @2011-09-08 04:49:14
#  Task time = 10000
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
1	10023.680400000001	2.735538559653042	1315428585015	1315428685396
2	7512.726950000001	0.7811708452603883	1315428685397	1315428785598
3	6676.52008	0.804839485078327	1315428785598	1315428885753
4	6258.920029999999	1.45583739358925	1315428885753	1315428985903
5	6007.746239999999	0.6748701064790912	1315428985904	1315429086029
6	5842.128300000001	3.2227383782296557	1315429086030	1315429186170
7	5721.786219999999	2.4996138102216583	1315429186170	1315429286292
8	5634.8505	4.154918792090157	1315429286292	1315429386441
9	5601.348840000001	120.05450785595956	1315429386441	1315429486955
10	5507.493240000001	1.9748855617354064	1315429486955	1315429587075
11	5461.774960000001	2.7875113853370332	1315429587075	1315429687191
12	5423.37818	1.858921998491959	1315429687191	1315429787305
13	5391.50821	1.991737278281128	1315429787306	1315429887427
14	5363.796950000001	1.5234012827684489	1315429887427	1315429987542
15	5339.83127	1.6375589715208896	1315429987542	1315430087660
16	5322.23729	4.487629005575487	1315430087661	1315430187834
17	5392.800230000001	284.74007817504423	1315430187834	1315430288874
18	5286.876630000001	3.006009895753777	1315430288874	1315430389029
19	5271.38105	3.179973368664822	1315430389029	1315430489186
20	5258.46051	2.8318236071002905	1315430489186	1315430589327
21	5247.25221	4.286090696783697	1315430589327	1315430689475
22	5236.18992	3.88928230297644	1315430689475	1315430789624
23	5227.5417099999995	5.542292213030287	1315430789624	1315430889837
24	5218.80378	5.101178914101697	1315430889837	1315430990012

########################################
# SR ParallelExecute for /192.168.0.2:3000
#  Repeat Count = 10
# Client Configuration @2011-09-08 05:29:50
#  Task time = 10000
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
1	10022.89833	5.904011531497594	1315431020109	1315431120457
2	5019.303429999999	3.434431475104714	1315431120457	1315431170776
3	3351.67656	3.049367678933784	1315431170776	1315431204417
4	2516.9419399999997	3.182579131469664	1315431204417	1315431229711
5	2016.33184	2.4949791457213637	1315431229711	1315431249999
6	1684.1471200000003	2.958481376653177	1315431249999	1315431266966
7	1444.67543	1.0217912256423476	1315431266966	1315431281534
8	1265.0512299999998	0.7064743610632624	1315431281534	1315431294308
9	1147.93793	65.52739991079206	1315431294308	1315431305911
10	1016.6920999999999	4.362648820028533	1315431305911	1315431316200
11	924.66507	2.8120064244551037	1315431316200	1315431325567
12	850.48111	4.11944082222958	1315431325567	1315431334197
13	785.00613	3.1281278913459474	1315431334197	1315431342171
14	730.1054300000002	2.8098810006129638	1315431342172	1315431349600
15	682.2284099999999	2.807551840809518	1315431349600	1315431356550
16	639.55432	0.7155814137204085	1315431356550	1315431363067
17	603.55099	1.9190332974001731	1315431363067	1315431369225
18	570.60946	1.0018628583812528	1315431369225	1315431375058
19	543.33152	3.4652050761168787	1315431375058	1315431380619
20	515.44028	3.0367441650555405	1315431380619	1315431385900
21	491.12758	0.897192472559223	1315431385900	1315431390936
22	472.64819	3.8916351634534316	1315431390936	1315431395793
23	449.57919000000004	0.8435145832033272	1315431395793	1315431400414
24	432.5029799999999	1.6666312221704487	1315431400414	1315431404863


# ====== Port number : 3100 ======

########################################
